_id_transferencias,class,"data.co2","data.humidity","data.room_temp","data.surf_temp",hub,node,time
6360c4393736f2c2b990c810,4405,483,38.79,25.17,,000FF001,65799,2022-11-01T08:01:13.458434
6360c48b3736f2c2b990c811,4405,,45.00,20.9,19.29,000FF001,65794,2022-11-01T08:02:35.250274
6360c4923736f2c2b990c812,4405,,39.8,20.8,19.09,000FF001,65795,2022-11-01T08:02:42.069795
6360c4a93736f2c2b990c813,4405,,43.5,21.4,19.45,000FF001,131334,2022-11-01T08:03:05.462891
6360c4ae3736f2c2b990c814,4405,,41.3,20.9,18.81,000FF001,131332,2022-11-01T08:03:10.327409
6360c5183736f2c2b990c815,4405,,50.6,19.3,17.51,000FF001,65793,2022-11-01T08:04:56.274510
6360c5403736f2c2b990c816,4405,,14.9,21.2,19.19,000FF001,131333,2022-11-01T08:05:36.127921
6360c58a3736f2c2b990c817,4405,483,38.68,25.21,,000FF001,65799,2022-11-01T08:06:50.097824
6360c5b93736f2c2b990c818,4405,,44.7,20.6,19.29,000FF001,65794,2022-11-01T08:07:37.333040
6360c5c13736f2c2b990c819,4405,,39.8,20.8,19.03,000FF001,65795,2022-11-01T08:07:45.920946
6360c5d93736f2c2b990c81a,4405,,43.6,21.4,19.41,000FF001,131334,2022-11-01T08:08:09.507901
6360c5de3736f2c2b990c81b,4405,,41.3,20.9,18.79,000FF001,131332,2022-11-01T08:08:14.171090
6360c6483736f2c2b990c81c,4405,,50.5,19.3,17.51,000FF001,65793,2022-11-01T08:10:00.338923
6360c66e3736f2c2b990c81d,4405,,14.9,21.2,19.19,000FF001,131333,2022-11-01T08:10:38.288723
6360c6da3736f2c2b990c81e,4405,487,38.71,25.14,,000FF001,65799,2022-11-01T08:12:26.679768
6360c6e73736f2c2b990c81f,4405,,44.9,20.8,19.23,000FF001,65794,2022-11-01T08:12:39.415587
6360c6f13736f2c2b990c820,4405,,40.00,21.00,19.09,000FF001,65795,2022-11-01T08:12:49.768515
6360c7093736f2c2b990c821,4405,,43.5,21.4,19.39,000FF001,131334,2022-11-01T08:13:13.548182
6360c70e3736f2c2b990c822,4405,,41.3,20.9,18.85,000FF001,131332,2022-11-01T08:13:18.014464
6360c7783736f2c2b990c823,4405,,50.5,19.3,17.51,000FF001,65793,2022-11-01T08:15:04.395297
6360c79c3736f2c2b990c824,4405,,14.9,21.2,19.23,000FF001,131333,2022-11-01T08:15:40.449361
6360c8153736f2c2b990c825,4405,,44.9,20.8,19.29,000FF001,65794,2022-11-01T08:17:41.496071
6360c8213736f2c2b990c826,4405,,39.8,20.9,19.01,000FF001,65795,2022-11-01T08:17:53.620914
