_id_transferencias,class,"data.co2","data.humidity","data.room_temp","data.surf_temp",hub,node,time
6360d23b3736f2c2b990c862,4405,,14.9,21.2,19.19,000FF001,131333,2022-11-01T09:00:59.892683
6360d2ae3736f2c2b990c863,4405,495,38.66,25.14,,000FF001,65799,2022-11-01T09:02:54.620335
6360d2b43736f2c2b990c864,4405,,45.1,20.9,19.33,000FF001,65794,2022-11-01T09:03:00.228340
6360d2d03736f2c2b990c865,4405,,39.7,20.9,19.09,000FF001,65795,2022-11-01T09:03:28.269534
6360d2e93736f2c2b990c866,4405,,43.5,21.3,19.39,000FF001,131334,2022-11-01T09:03:53.972728
6360d2ec3736f2c2b990c867,4405,,41.2,21.1,18.81,000FF001,131332,2022-11-01T09:03:56.454400
6360d3593736f2c2b990c868,4405,,49.9,19.6,17.51,000FF001,65793,2022-11-01T09:05:44.998598
6360d36a3736f2c2b990c869,4405,,14.9,21.2,19.17,000FF001,131333,2022-11-01T09:06:02.055021
6360d3e23736f2c2b990c86a,4405,,45.00,20.9,19.25,000FF001,65794,2022-11-01T09:08:02.309043
6360d3ff3736f2c2b990c86b,4405,489,38.6,25.17,,000FF001,65799,2022-11-01T09:08:31.044256
6360d4003736f2c2b990c86c,4405,,39.6,21.00,19.13,000FF001,65795,2022-11-01T09:08:32.120302
6360d41a3736f2c2b990c86d,4405,,43.6,21.4,19.35,000FF001,131334,2022-11-01T09:08:58.014853
6360d41c3736f2c2b990c86e,4405,,41.1,21.00,18.87,000FF001,131332,2022-11-01T09:09:00.298267
6360d4893736f2c2b990c86f,4405,,49.7,19.6,17.57,000FF001,65793,2022-11-01T09:10:49.059996
6360d4983736f2c2b990c870,4405,,14.9,21.2,19.17,000FF001,131333,2022-11-01T09:11:04.215513
6360d5103736f2c2b990c871,4405,,44.9,20.6,19.23,000FF001,65794,2022-11-01T09:13:04.390591
6360d52f3736f2c2b990c872,4405,,39.8,21.2,19.13,000FF001,65795,2022-11-01T09:13:35.971702
6360d54a3736f2c2b990c873,4405,,43.5,21.4,19.39,000FF001,131334,2022-11-01T09:14:02.060708
6360d54c3736f2c2b990c874,4405,,41.2,21.1,18.81,000FF001,131332,2022-11-01T09:14:04.143473
6360d54f3736f2c2b990c875,4405,487,38.62,25.12,,000FF001,65799,2022-11-01T09:14:07.476945
6360d5b93736f2c2b990c876,4405,,49.7,19.7,17.57,000FF001,65793,2022-11-01T09:15:53.122364
6360d5c63736f2c2b990c877,4405,,14.9,21.2,19.07,000FF001,131333,2022-11-01T09:16:06.375003
6360d63e3736f2c2b990c878,4405,,45.00,20.7,19.23,000FF001,65794,2022-11-01T09:18:06.469758
6360d65f3736f2c2b990c879,4405,,39.4,21.00,19.17,000FF001,65795,2022-11-01T09:18:39.822667
6360d67a3736f2c2b990c87a,4405,,43.5,21.4,19.33,000FF001,131334,2022-11-01T09:19:06.102416
6360d67b3736f2c2b990c87b,4405,,41.1,21.00,18.85,000FF001,131332,2022-11-01T09:19:07.987156
6360d6a03736f2c2b990c87c,4405,490,38.6,25.15,,000FF001,65799,2022-11-01T09:19:44.107564
6360d6e93736f2c2b990c87d,4405,,49.6,19.7,17.59,000FF001,65793,2022-11-01T09:20:57.184514
6360d6f43736f2c2b990c87e,4405,,14.9,21.2,19.23,000FF001,131333,2022-11-01T09:21:08.536442
6360d76c3736f2c2b990c87f,4405,,45.00,20.8,19.25,000FF001,65794,2022-11-01T09:23:08.551144
6360d78f3736f2c2b990c880,4405,,39.5,21.2,19.09,000FF001,65795,2022-11-01T09:23:43.674509
6360d7aa3736f2c2b990c881,4405,,43.5,21.4,19.33,000FF001,131334,2022-11-01T09:24:10.143618
6360d7ab3736f2c2b990c882,4405,,41.1,21.00,18.85,000FF001,131332,2022-11-01T09:24:11.829704
6360d7f03736f2c2b990c883,4405,488,38.68,25.11,,000FF001,65799,2022-11-01T09:25:20.780419
6360d8193736f2c2b990c884,4405,,49.5,19.7,17.67,000FF001,65793,2022-11-01T09:26:01.243427
6360d8223736f2c2b990c885,4405,,14.9,21.2,19.17,000FF001,131333,2022-11-01T09:26:10.695429
6360d89a3736f2c2b990c886,4405,,45.00,20.8,19.25,000FF001,65794,2022-11-01T09:28:10.634342
6360d8bf3736f2c2b990c887,4405,,39.4,21.1,19.17,000FF001,65795,2022-11-01T09:28:47.524384
6360d8da3736f2c2b990c888,4405,,43.4,21.4,19.33,000FF001,131334,2022-11-01T09:29:14.187216
6360d8db3736f2c2b990c889,4405,,41.1,21.1,18.91,000FF001,131332,2022-11-01T09:29:15.675987
6360d9413736f2c2b990c88a,4405,487,38.58,25.17,,000FF001,65799,2022-11-01T09:30:57.398699
6360d9493736f2c2b990c88b,4405,,49.5,19.8,17.63,000FF001,65793,2022-11-01T09:31:05.305707
6360d9503736f2c2b990c88c,4405,,14.9,21.2,19.19,000FF001,131333,2022-11-01T09:31:12.857769
6360d9c83736f2c2b990c88d,4405,,45.00,20.7,19.23,000FF001,65794,2022-11-01T09:33:12.712293
6360d9ef3736f2c2b990c88e,4405,,39.4,21.1,19.17,000FF001,65795,2022-11-01T09:33:51.371669
6360da0a3736f2c2b990c88f,4405,,43.4,21.4,19.45,000FF001,131334,2022-11-01T09:34:18.230252
6360da0b3736f2c2b990c890,4405,,41.3,21.00,18.81,000FF001,131332,2022-11-01T09:34:19.518583
6360da793736f2c2b990c891,4405,,49.4,19.8,17.63,000FF001,65793,2022-11-01T09:36:09.366754
6360da7f3736f2c2b990c892,4405,,14.9,21.2,19.17,000FF001,131333,2022-11-01T09:36:15.016874
6360da923736f2c2b990c893,4405,486,38.6,25.1,,000FF001,65799,2022-11-01T09:36:34.094382
6360daf63736f2c2b990c894,4405,,45.00,20.8,19.17,000FF001,65794,2022-11-01T09:38:14.793895
6360db1f3736f2c2b990c895,4405,,39.2,20.9,19.19,000FF001,65795,2022-11-01T09:38:55.220908
6360db3a3736f2c2b990c896,4405,,43.4,21.4,19.39,000FF001,131334,2022-11-01T09:39:22.272089
6360db3b3736f2c2b990c897,4405,,41.2,21.1,18.81,000FF001,131332,2022-11-01T09:39:23.364742
6360dba93736f2c2b990c898,4405,,49.3,19.8,17.63,000FF001,65793,2022-11-01T09:41:13.425841
6360dbad3736f2c2b990c899,4405,,15.00,21.3,19.17,000FF001,131333,2022-11-01T09:41:17.179911
6360dbe23736f2c2b990c89a,4405,487,38.59,25.17,,000FF001,65799,2022-11-01T09:42:10.817627
6360dc243736f2c2b990c89b,4405,,45.1,20.8,19.23,000FF001,65794,2022-11-01T09:43:16.875382
6360dc4f3736f2c2b990c89c,4405,,39.2,21.1,19.23,000FF001,65795,2022-11-01T09:43:59.071190
