"_id_transferencias","class","data. 
co2","data. 
humidity","data. 
room_temp","data. 
surf_temp","hub","node","time"
"636158c03736f2c2b990cb8e","4405","450","36.02","26.69","","000FF001","65799","2022-11-01T18:34:56.521195"
"636158ca3736f2c2b990cb8f","4405","","13.60","21.60","19.61","000FF001","131333","2022-11-01T18:35:06.366825"
"636158ef3736f2c2b990cb90","4405","","37.50","22.00","20.17","000FF001","65795","2022-11-01T18:35:43.470012"
"6361590a3736f2c2b990cb91","4405","","40.10","21.40","19.17","000FF001","131332","2022-11-01T18:36:10.947935"
"6361591e3736f2c2b990cb92","4405","","42.40","21.70","19.73","000FF001","131334","2022-11-01T18:36:30.901001"
"636159393736f2c2b990cb93","4405","","43.00","22.10","20.27","000FF001","65794","2022-11-01T18:36:57.783866"
"636159903736f2c2b990cb94","4405","","43.30","22.90","20.89","000FF001","65793","2022-11-01T18:38:24.989596"
"636159f83736f2c2b990cb95","4405","","13.60","21.60","19.55","000FF001","131333","2022-11-01T18:40:08.527461"
"63615a103736f2c2b990cb96","4405","449","35.99","26.70","","000FF001","65799","2022-11-01T18:40:32.984288"
"63615a1f3736f2c2b990cb97","4405","","37.70","22.10","20.11","000FF001","65795","2022-11-01T18:40:47.321534"
"63615a3a3736f2c2b990cb98","4405","","40.20","21.40","19.25","000FF001","131332","2022-11-01T18:41:14.791527"
"63615a4e3736f2c2b990cb99","4405","","42.40","21.70","19.73","000FF001","131334","2022-11-01T18:41:34.944818"
"63615a673736f2c2b990cb9a","4405","","43.20","22.20","20.27","000FF001","65794","2022-11-01T18:41:59.875093"
"63615ac13736f2c2b990cb9b","4405","","43.80","22.50","20.83","000FF001","65793","2022-11-01T18:43:29.063387"
"63615b263736f2c2b990cb9c","4405","","13.60","21.50","19.47","000FF001","131333","2022-11-01T18:45:10.689116"
"63615b4f3736f2c2b990cb9d","4405","","37.70","22.00","20.05","000FF001","65795","2022-11-01T18:45:51.174310"
"63615b613736f2c2b990cb9e","4405","448","36.19","26.59","","000FF001","65799","2022-11-01T18:46:09.388169"
