"_id_transferencias","class","data. 
co2","data. 
humidity","data. 
room_temp","data. 
surf_temp","hub","node","time"
"6360ee4d3736f2c2b990c906","4405","472","38.29","25.29","","000FF001","65799","2022-11-01T11:00:45.775838"
"6360ee8f3736f2c2b990c907","4405","","14.00","21.70","19.45","000FF001","131333","2022-11-01T11:01:51.758841"
"6360eeaa3736f2c2b990c908","4405","","48.00","20.50","17.83","000FF001","65793","2022-11-01T11:02:18.445269"
"6360ef063736f2c2b990c909","4405","","45.00","20.90","19.29","000FF001","65794","2022-11-01T11:03:50.174539"
"6360ef4c3736f2c2b990c90a","4405","","37.80","21.70","19.63","000FF001","65795","2022-11-01T11:05:00.679216"
"6360ef683736f2c2b990c90b","4405","","40.70","21.30","19.03","000FF001","131332","2022-11-01T11:05:28.721629"
"6360ef6b3736f2c2b990c90c","4405","","43.10","21.70","19.51","000FF001","131334","2022-11-01T11:05:30.996819"
"6360ef9e3736f2c2b990c90d","4405","468","38.30","25.31","","000FF001","65799","2022-11-01T11:06:22.564926"
"6360efbd3736f2c2b990c90e","4405","","13.90","21.70","19.47","000FF001","131333","2022-11-01T11:06:53.919791"
"6360efda3736f2c2b990c90f","4405","","47.90","20.70","17.79","000FF001","65793","2022-11-01T11:07:22.497996"
"6360f0343736f2c2b990c910","4405","","44.90","20.90","19.29","000FF001","65794","2022-11-01T11:08:52.257307"
"6360f07c3736f2c2b990c911","4405","","37.90","21.80","19.73","000FF001","65795","2022-11-01T11:10:04.536326"
"6360f0983736f2c2b990c912","4405","","40.60","21.40","19.07","000FF001","131332","2022-11-01T11:10:32.565973"
"6360f09b3736f2c2b990c913","4405","","43.00","21.70","19.61","000FF001","131334","2022-11-01T11:10:35.037703"
"6360f0ec3736f2c2b990c914","4405","","13.90","21.70","19.35","000FF001","131333","2022-11-01T11:11:56.082414"
"6360f0ef3736f2c2b990c915","4405","461","38.18","25.33","","000FF001","65799","2022-11-01T11:11:59.502663"
"6360f10a3736f2c2b990c916","4405","","48.10","20.60","17.83","000FF001","65793","2022-11-01T11:12:26.557751"
"6360f1623736f2c2b990c917","4405","","44.90","20.90","19.29","000FF001","65794","2022-11-01T11:13:54.341256"
"6360f1ac3736f2c2b990c918","4405","","38.00","21.80","19.79","000FF001","65795","2022-11-01T11:15:08.380463"
"6360f1c83736f2c2b990c919","4405","","40.60","21.40","19.07","000FF001","131332","2022-11-01T11:15:36.409870"
"6360f1cb3736f2c2b990c91a","4405","","42.90","21.60","19.61","000FF001","131334","2022-11-01T11:15:39.083996"
"6360f21a3736f2c2b990c91b","4405","","13.90","21.60","19.51","000FF001","131333","2022-11-01T11:16:58.241994"
"6360f23a3736f2c2b990c91c","4405","","48.20","20.50","17.75","000FF001","65793","2022-11-01T11:17:30.621961"
"6360f2403736f2c2b990c91d","4405","461","38.19","25.31","","000FF001","65799","2022-11-01T11:17:36.424041"
"6360f2903736f2c2b990c91e","4405","","44.90","20.90","19.33","000FF001","65794","2022-11-01T11:18:56.419047"
"6360f2dc3736f2c2b990c91f","4405","","38.10","21.90","19.77","000FF001","65795","2022-11-01T11:20:12.232871"
"6360f2f83736f2c2b990c920","4405","","40.70","21.50","19.07","000FF001","131332","2022-11-01T11:20:40.255646"
"6360f2fb3736f2c2b990c921","4405","","43.00","21.70","19.57","000FF001","131334","2022-11-01T11:20:43.124999"
"6360f3483736f2c2b990c922","4405","","13.90","21.70","19.39","000FF001","131333","2022-11-01T11:22:00.404253"
"6360f36a3736f2c2b990c923","4405","","48.00","20.60","17.83","000FF001","65793","2022-11-01T11:22:34.686811"
"6360f3913736f2c2b990c924","4405","465","38.17","25.35","","000FF001","65799","2022-11-01T11:23:13.212904"
"6360f3be3736f2c2b990c925","4405","","44.70","20.70","19.33","000FF001","65794","2022-11-01T11:23:58.499691"
"6360f40c3736f2c2b990c926","4405","","37.90","21.80","19.79","000FF001","65795","2022-11-01T11:25:16.082960"
"6360f4283736f2c2b990c927","4405","","40.60","21.50","19.13","000FF001","131332","2022-11-01T11:25:44.099848"
"6360f42b3736f2c2b990c928","4405","","42.90","21.70","19.63","000FF001","131334","2022-11-01T11:25:47.166905"
"6360f4763736f2c2b990c929","4405","","13.90","21.70","19.41","000FF001","131333","2022-11-01T11:27:02.566302"
"6360f49a3736f2c2b990c92a","4405","","47.70","20.60","17.83","000FF001","65793","2022-11-01T11:27:38.749773"
"6360f4e13736f2c2b990c92b","4405","465","38.18","25.35","","000FF001","65799","2022-11-01T11:28:49.952610"
"6360f4ec3736f2c2b990c92c","4405","","44.60","20.70","19.25","000FF001","65794","2022-11-01T11:29:00.582181"
"6360f53b3736f2c2b990c92d","4405","","37.90","21.80","19.79","000FF001","65795","2022-11-01T11:30:19.935165"
"6360f5573736f2c2b990c92e","4405","","40.50","21.40","19.09","000FF001","131332","2022-11-01T11:30:47.944253"
"6360f55b3736f2c2b990c92f","4405","","42.90","21.70","19.63","000FF001","131334","2022-11-01T11:30:51.210782"
"6360f5a43736f2c2b990c930","4405","","13.90","21.70","19.47","000FF001","131333","2022-11-01T11:32:04.729255"
"6360f5ca3736f2c2b990c931","4405","","48.30","20.70","17.85","000FF001","65793","2022-11-01T11:32:42.813539"
"6360f61a3736f2c2b990c932","4405","","45.00","21.10","19.29","000FF001","65794","2022-11-01T11:34:02.662476"
"6360f6323736f2c2b990c933","4405","462","38.10","25.36","","000FF001","65799","2022-11-01T11:34:26.715307"
