"_id_transferencias","class","data.co2","data.humidity","data.room_temp","data.surf_temp","hub","node","time","","","","",""
"63610ab53736f2c2b990c9aa","4405","","40.10","21.60","19.33","000FF001","131332","2022-11-01T13:01:57.154800","","","","",""
"63610abc3736f2c2b990c9ab","4405","","42.60","21.90","19.77","000FF001","131334","2022-11-01T13:02:03.993030","","","","",""
"63610ae33736f2c2b990c9ac","4405","","13.30","21.90","19.63","000FF001","131333","2022-11-01T13:02:43.643535","","","","",""
"63610b2c3736f2c2b990c9ad","4405","","43.30","23.50","18.31","000FF001","65793","2022-11-01T13:03:56.027667","","","","",""
"63610b3d3736f2c2b990c9ae","4405","471","37.89","25.49","","000FF001","65799","2022-11-01T13:04:13.153961","","","","",""
"63610b583736f2c2b990c9af","4405","","44.40","21.20","19.41","000FF001","65794","2022-11-01T13:04:40.143441","","","","",""
"63610bc93736f2c2b990c9b0","4405","","37.70","21.80","19.99","000FF001","65795","2022-11-01T13:06:33.109640","","","","",""
"63610be53736f2c2b990c9b1","4405","","40.20","21.70","19.33","000FF001","131332","2022-11-01T13:07:01.000085","","","","",""
"63610bec3736f2c2b990c9b2","4405","","42.60","21.90","19.77","000FF001","131334","2022-11-01T13:07:08.037276","","","","",""
"63610c113736f2c2b990c9b3","4405","","13.30","21.90","19.71","000FF001","131333","2022-11-01T13:07:45.806570","","","","",""
"63610c5c3736f2c2b990c9b4","4405","","43.80","23.20","18.33","000FF001","65793","2022-11-01T13:09:00.098719","","","","",""
"63610c863736f2c2b990c9b5","4405","","44.40","21.20","19.45","000FF001","65794","2022-11-01T13:09:42.220186","","","","",""
"63610c8d3736f2c2b990c9b6","4405","474","37.82","25.53","","000FF001","65799","2022-11-01T13:09:49.684230","","","","",""
"63610cf83736f2c2b990c9b7","4405","","37.70","22.00","19.95","000FF001","65795","2022-11-01T13:11:36.960639","","","","",""
"63610d143736f2c2b990c9b8","4405","","40.10","21.60","19.29","000FF001","131332","2022-11-01T13:12:04.845475","","","","",""
"63610d1c3736f2c2b990c9b9","4405","","42.60","21.90","19.77","000FF001","131334","2022-11-01T13:12:12.080459","","","","",""
"63610d3f3736f2c2b990c9ba","4405","","13.30","21.90","19.67","000FF001","131333","2022-11-01T13:12:47.969816","","","","",""
"63610d8c3736f2c2b990c9bb","4405","","43.10","23.40","18.31","000FF001","65793","2022-11-01T13:14:04.171845","","","","",""
"63610db43736f2c2b990c9bc","4405","","44.40","21.20","19.45","000FF001","65794","2022-11-01T13:14:44.303998","","","","",""
"63610dde3736f2c2b990c9bd","4405","471","37.89","25.49","","000FF001","65799","2022-11-01T13:15:26.276875","","","","",""
"63610e283736f2c2b990c9be","4405","","37.60","21.90","19.99","000FF001","65795","2022-11-01T13:16:40.814367","","","","",""
"63610e443736f2c2b990c9bf","4405","","40.20","21.60","19.35","000FF001","131332","2022-11-01T13:17:08.690360","","","","",""
"63610e4c3736f2c2b990c9c0","4405","","42.60","21.90","19.77","000FF001","131334","2022-11-01T13:17:16.127246","","","","",""
"63610e6e3736f2c2b990c9c1","4405","","13.30","21.90","19.63","000FF001","131333","2022-11-01T13:17:50.131690","","","","",""
"63610ebc3736f2c2b990c9c2","4405","","44.20","23.00","18.33","000FF001","65793","2022-11-01T13:19:08.243262","","","","",""
"63610ee23736f2c2b990c9c3","4405","","44.40","21.20","19.51","000FF001","65794","2022-11-01T13:19:46.385360","","","","",""
"63610f2e3736f2c2b990c9c4","4405","469","37.80","25.50","","000FF001","65799","2022-11-01T13:21:02.771606","","","","",""
"63610f583736f2c2b990c9c5","4405","","37.40","21.80","19.95","000FF001","65795","2022-11-01T13:21:44.665071","","","","",""
"63610f743736f2c2b990c9c6","4405","","40.20","21.60","19.33","000FF001","131332","2022-11-01T13:22:12.535333","","","","",""
"63610f7c3736f2c2b990c9c7","4405","","42.60","21.90","19.77","000FF001","131334","2022-11-01T13:22:20.169637","","","","",""
"63610f9c3736f2c2b990c9c8","4405","","13.30","21.90","19.73","000FF001","131333","2022-11-01T13:22:52.293847","","","","",""
"63610fec3736f2c2b990c9c9","4405","","44.50","22.70","18.31","000FF001","65793","2022-11-01T13:24:12.313431","","","","",""
"636110103736f2c2b990c9ca","4405","","44.40","21.30","19.45","000FF001","65794","2022-11-01T13:24:48.469806","","","","",""
"6361107f3736f2c2b990c9cb","4405","462","37.79","25.49","","000FF001","65799","2022-11-01T13:26:39.227139","","","","",""
"636110883736f2c2b990c9cc","4405","","37.60","21.80","19.95","000FF001","65795","2022-11-01T13:26:48.517677","","","","",""
"636110a43736f2c2b990c9cd","4405","","40.10","21.60","19.33","000FF001","131332","2022-11-01T13:27:16.381163","","","","",""
"636110ac3736f2c2b990c9ce","4405","","42.60","21.90","19.79","000FF001","131334","2022-11-01T13:27:24.214609","","","","",""
"636110ca3736f2c2b990c9cf","4405","","13.20","21.90","19.71","000FF001","131333","2022-11-01T13:27:54.455875","","","","",""
"6361111c3736f2c2b990c9d0","4405","","44.70","22.70","18.41","000FF001","65793","2022-11-01T13:29:16.382788","","","","",""
"6361113e3736f2c2b990c9d1","4405","","44.40","21.20","19.41","000FF001","65794","2022-11-01T13:29:50.549844","","","","",""
"636111b83736f2c2b990c9d2","4405","","37.60","21.90","19.93","000FF001","65795","2022-11-01T13:31:52.369040","","","","",""
