"_id_transferencias","class","data.co2","data.humidity","data.room_temp","data.surf_temp","hub","node","time"
"6361428e3736f2c2b990cb06","4405","","42.20","22.00","19.87","000FF001","131334","2022-11-01T17:00:14.067510"
"636142ce3736f2c2b990cb08","4405","","41.10","23.30","20.39","000FF001","65794","2022-11-01T17:01:18.106338"
"636142ff3736f2c2b990cb0a","4405","","38.50","25.90","21.07","000FF001","65793","2022-11-01T17:02:07.515484"
"6361438b3736f2c2b990cb0c","4405","","13.10","21.90","19.67","000FF001","131333","2022-11-01T17:04:27.451095"
"636143923736f2c2b990cb0e","4405","","37.00","22.40","20.31","000FF001","65795","2022-11-01T17:04:34.137326"
"636143ad3736f2c2b990cb0f","4405","","40.00","21.60","19.41","000FF001","131332","2022-11-01T17:05:01.735099"
"636143be3736f2c2b990cb10","4405","","42.20","22.00","19.89","000FF001","131334","2022-11-01T17:05:18.111432"
"636143be3736f2c2b990cb11","4405","457","32.91","28.54","","000FF001","65799","2022-11-01T17:05:18.234157"
"636143fc3736f2c2b990cb12","4405","","41.00","23.40","20.45","000FF001","65794","2022-11-01T17:06:20.203624"
"6361442f3736f2c2b990cb13","4405","","38.60","25.80","21.11","000FF001","65793","2022-11-01T17:07:11.596865"
"636144b93736f2c2b990cb14","4405","","13.20","21.90","19.73","000FF001","131333","2022-11-01T17:09:29.612745"
"636144c23736f2c2b990cb15","4405","","37.10","22.40","20.31","000FF001","65795","2022-11-01T17:09:37.994501"
"636144dd3736f2c2b990cb16","4405","","39.90","21.50","19.33","000FF001","131332","2022-11-01T17:10:05.579587"
"636144ee3736f2c2b990cb17","4405","","42.20","22.00","19.89","000FF001","131334","2022-11-01T17:10:22.154329"
"6361450e3736f2c2b990cb18","4405","462","31.95","29.13","","000FF001","65799","2022-11-01T17:10:54.306843"
"6361452a3736f2c2b990cb19","4405","","40.80","23.40","20.55","000FF001","65794","2022-11-01T17:11:22.283922"
"6361455f3736f2c2b990cb1a","4405","","38.70","25.70","21.23","000FF001","65793","2022-11-01T17:12:15.676230"
"636145e73736f2c2b990cb1b","4405","","13.20","21.80","19.71","000FF001","131333","2022-11-01T17:14:31.774711"
"636145f13736f2c2b990cb1c","4405","","37.00","22.50","20.33","000FF001","65795","2022-11-01T17:14:41.841518"
"6361460d3736f2c2b990cb1d","4405","","40.00","21.60","19.35","000FF001","131332","2022-11-01T17:15:09.423897"
"6361461e3736f2c2b990cb1e","4405","","42.10","21.90","19.93","000FF001","131334","2022-11-01T17:15:26.201703"
"636146583736f2c2b990cb1f","4405","","40.80","23.50","20.51","000FF001","65794","2022-11-01T17:16:24.374034"
"6361465e3736f2c2b990cb20","4405","457","32.02","29.11","","000FF001","65799","2022-11-01T17:16:30.453887"
"6361468f3736f2c2b990cb21","4405","","38.80","25.70","21.37","000FF001","65793","2022-11-01T17:17:19.755789"
"636147153736f2c2b990cb22","4405","","13.20","21.80","19.63","000FF001","131333","2022-11-01T17:19:33.937534"
"636147213736f2c2b990cb23","4405","","37.00","22.40","20.39","000FF001","65795","2022-11-01T17:19:45.692170"
"6361473d3736f2c2b990cb24","4405","","40.00","21.60","19.39","000FF001","131332","2022-11-01T17:20:13.268461"
"6361474e3736f2c2b990cb25","4405","","42.10","21.90","19.83","000FF001","131334","2022-11-01T17:20:30.242616"
"636147863736f2c2b990cb26","4405","","40.80","23.50","20.55","000FF001","65794","2022-11-01T17:21:26.462882"
"636147ae3736f2c2b990cb27","4405","453","32.12","29.10","","000FF001","65799","2022-11-01T17:22:06.566686"
"636147bf3736f2c2b990cb28","4405","","38.90","25.60","21.43","000FF001","65793","2022-11-01T17:22:23.832956"
"636148443736f2c2b990cb29","4405","","13.20","21.80","19.67","000FF001","131333","2022-11-01T17:24:36.099196"
"636148513736f2c2b990cb2a","4405","","37.10","22.40","20.33","000FF001","65795","2022-11-01T17:24:49.548628"
"6361486d3736f2c2b990cb2b","4405","","40.00","21.60","19.33","000FF001","131332","2022-11-01T17:25:17.113678"
"6361487e3736f2c2b990cb2c","4405","","42.20","21.90","19.93","000FF001","131334","2022-11-01T17:25:34.289375"
"636148b43736f2c2b990cb2d","4405","","40.80","23.60","20.51","000FF001","65794","2022-11-01T17:26:28.554868"
"636148ef3736f2c2b990cb2e","4405","","39.00","25.50","21.39","000FF001","65793","2022-11-01T17:27:27.915773"
"636148fe3736f2c2b990cb2f","4405","451","32.19","29.09","","000FF001","65799","2022-11-01T17:27:42.526882"
"636149723736f2c2b990cb30","4405","","13.30","21.80","19.71","000FF001","131333","2022-11-01T17:29:38.260389"
"636149813736f2c2b990cb31","4405","","37.10","22.40","20.33","000FF001","65795","2022-11-01T17:29:53.394953"
"6361499c3736f2c2b990cb32","4405","","40.00","21.60","19.33","000FF001","131332","2022-11-01T17:30:20.959481"
"636149ae3736f2c2b990cb33","4405","","42.10","21.90","19.89","000FF001","131334","2022-11-01T17:30:38.334114"
"636149e23736f2c2b990cb34","4405","","40.80","23.60","20.59","000FF001","65794","2022-11-01T17:31:30.643457"
"63614a203736f2c2b990cb35","4405","","39.20","25.40","21.39","000FF001","65793","2022-11-01T17:32:31.993689"
"63614a4e3736f2c2b990cb36","4405","450","32.32","28.93","","000FF001","65799","2022-11-01T17:33:18.525631"
"63614aa03736f2c2b990cb37","4405","","13.30","21.70","19.67","000FF001","131333","2022-11-01T17:34:40.424881"
"63614ab13736f2c2b990cb38","4405","","37.10","22.40","20.39","000FF001","65795","2022-11-01T17:34:57.252366"
"63614acc3736f2c2b990cb39","4405","","40.00","21.50","19.33","000FF001","131332","2022-11-01T17:35:24.806265"
"63614ade3736f2c2b990cb3a","4405","","42.20","21.90","19.83","000FF001","131334","2022-11-01T17:35:42.374567"
"63614b103736f2c2b990cb3b","4405","","40.80","23.50","20.65","000FF001","65794","2022-11-01T17:36:32.733994"
"63614b503736f2c2b990cb3c","4405","","39.50","25.30","21.43","000FF001","65793","2022-11-01T17:37:36.077941"
"63614b9e3736f2c2b990cb3d","4405","452","32.54","28.85","","000FF001","65799","2022-11-01T17:38:54.600496"
"63614bce3736f2c2b990cb3e","4405","","13.40","21.80","19.71","000FF001","131333","2022-11-01T17:39:42.585102"
"63614be13736f2c2b990cb3f","4405","","36.90","22.30","20.33","000FF001","65795","2022-11-01T17:40:01.099649"
"63614bfc3736f2c2b990cb40","4405","","40.10","21.50","19.35","000FF001","131332","2022-11-01T17:40:28.651765"
"63614c0e3736f2c2b990cb41","4405","","42.10","21.80","19.87","000FF001","131334","2022-11-01T17:40:46.418738"
"63614c3e3736f2c2b990cb42","4405","","40.80","23.50","20.59","000FF001","65794","2022-11-01T17:41:34.823904"
"63614c803736f2c2b990cb43","4405","","39.60","25.20","21.43","000FF001","65793","2022-11-01T17:42:40.151488"
"63614cee3736f2c2b990cb44","4405","449","33.00","28.60","","000FF001","65799","2022-11-01T17:44:30.585212"
"63614cfc3736f2c2b990cb45","4405","","13.40","21.70","19.57","000FF001","131333","2022-11-01T17:44:44.747623"
"63614d103736f2c2b990cb46","4405","","37.20","22.50","20.33","000FF001","65795","2022-11-01T17:45:04.955515"
"63614d2c3736f2c2b990cb47","4405","","40.00","21.50","19.39","000FF001","131332","2022-11-01T17:45:32.495422"
"63614d3e3736f2c2b990cb48","4405","","42.30","21.90","19.83","000FF001","131334","2022-11-01T17:45:50.464280"
"63614d6c3736f2c2b990cb49","4405","","40.90","23.50","20.61","000FF001","65794","2022-11-01T17:46:36.950212"
"63614db03736f2c2b990cb4a","4405","","40.00","25.00","21.43","000FF001","65793","2022-11-01T17:47:44.229394"
"63614e2a3736f2c2b990cb4b","4405","","13.30","21.70","19.63","000FF001","131333","2022-11-01T17:49:46.909404"
"63614e3e3736f2c2b990cb4c","4405","452","33.82","28.09","","000FF001","65799","2022-11-01T17:50:06.590107"
"63614e403736f2c2b990cb4d","4405","","37.30","22.30","20.33","000FF001","65795","2022-11-01T17:50:08.805025"
"63614e5c3736f2c2b990cb4e","4405","","40.00","21.50","19.29","000FF001","131332","2022-11-01T17:50:36.341017"
"63614e6e3736f2c2b990cb50","4405","","42.20","21.80","19.83","000FF001","131334","2022-11-01T17:50:54.506196"
"63614e9b3736f2c2b990cb51","4405","","41.10","23.30","20.55","000FF001","65794","2022-11-01T17:51:39.000819"
"63614ee03736f2c2b990cb53","4405","","40.50","24.60","21.33","000FF001","65793","2022-11-01T17:52:48.308735"
"63614f593736f2c2b990cb55","4405","","13.40","21.70","19.63","000FF001","131333","2022-11-01T17:54:49.071049"
"63614f703736f2c2b990cb56","4405","","37.30","22.40","20.31","000FF001","65795","2022-11-01T17:55:12.655670"
"63614f8c3736f2c2b990cb57","4405","","40.10","21.50","19.25","000FF001","131332","2022-11-01T17:55:40.185565"
"63614f8e3736f2c2b990cb58","4405","451","34.70","27.55","","000FF001","65799","2022-11-01T17:55:42.695812"
"63614f9e3736f2c2b990cb59","4405","","42.20","21.80","19.77","000FF001","131334","2022-11-01T17:55:58.551866"
"63614fc93736f2c2b990cb5a","4405","","41.40","23.20","20.55","000FF001","65794","2022-11-01T17:56:41.090266"
"636150103736f2c2b990cb5b","4405","","41.00","24.20","21.27","000FF001","65793","2022-11-01T17:57:52.385662"
"636150873736f2c2b990cb5c","4405","","13.40","21.70","19.63","000FF001","131333","2022-11-01T17:59:51.234328"
"636150903736f2c2b990cb5d","4405","","","","","000FF001","65799","2022-11-01T18:00:00.470320"
